website,manufacturer,width,profile,rim,tyre_pattern,tyre_size,price,fuel,wetgrip,noise,winter,all_season,run_flat,extra_laod
http://dexel.co.uk/,Economy ,205,55,16,,205/55 R16 91V,50.42,G,F,73,False,False,False,False
http://dexel.co.uk/,Economy ,205,55,16,,205/55 R16 91H,50.42,G,F,73,False,False,False,False
http://dexel.co.uk/,Economy ,205,55,16,,205/55 R16 91W,54.07,G,F,73,False,False,False,False
http://dexel.co.uk/,Uniroyal,205,55,16,RainSport 5,205/55 R16 91H,66.8,C,A,71,False,False,False,False
http://dexel.co.uk/,Uniroyal,205,55,16,RainSport 5,205/55 R16 91V,67.1,C,A,71,False,False,False,False
http://dexel.co.uk/,Yokohama,205,55,16,AE50 BluEarth,205/55 R16 91W,68.18,C,A,71,False,False,False,False
http://dexel.co.uk/,Dunlop,205,55,16,SP Sport BluResponse,205/55 R16 91V,69.82,B,A,68,False,False,False,False
http://dexel.co.uk/,Uniroyal,205,55,16,RainSport 5,205/55 R16 91W,69.99,C,A,71,False,False,False,False
http://dexel.co.uk/,Hankook,205,55,16,Ventus Prime 3 (K125),205/55 R16 91H,70.11,C,A,71,False,False,False,False
http://dexel.co.uk/,Dexel,205,55,16,Premium Choice,205/55 R16 94V,70.26,C,A,68,False,False,False,True
http://dexel.co.uk/,Goodyear,205,55,16,EfficientGrip Performance,205/55 R16 91H,71.26,B,A,68,False,False,False,False
http://dexel.co.uk/,Goodyear,205,55,16,EfficientGrip Performance,205/55 R16 91V,71.26,B,A,68,False,False,False,False
http://dexel.co.uk/,Hankook,205,55,16,Ventus Prime 3 (K125),205/55 R16 91V,71.53,C,A,71,False,False,False,False
http://dexel.co.uk/,Dunlop,205,55,16,SportMaxx RT,205/55 R16 91Y,71.66,E,A,67,False,False,False,False
http://dexel.co.uk/,Dunlop,205,55,16,SP Sport BluResponse,205/55 R16 91W,71.66,B,A,68,False,False,False,False
http://dexel.co.uk/,Uniroyal,205,55,16,RainSport 5,205/55 R16 94V,72.28,C,A,72,False,False,False,True
http://dexel.co.uk/,Goodyear,205,55,16,EfficientGrip Performance,205/55 R16 91W,72.49,B,A,68,False,False,False,False
http://dexel.co.uk/,Dexel,205,55,16,Premium Choice,205/55 R16 94W,73.04,C,A,68,False,False,False,True
http://dexel.co.uk/,Economy ,205,55,16,,205/55 R16 91H,73.74,E,C,71,True,False,False,False
http://dexel.co.uk/,Yokohama,205,55,16,AE50 BluEarth,205/55 R16 94V,73.95,C,A,71,False,False,False,True
http://dexel.co.uk/,Bridgestone,205,55,16,Turanza ER300,205/55 R16 91V,74.82,E,B,71,False,False,False,False
http://dexel.co.uk/,Bridgestone,205,55,16,Turanza ER300,205/55 R16 91H,76.02,E,B,71,False,False,False,False
http://dexel.co.uk/,Uniroyal,205,55,16,RainSport 3,205/55 R16 94Y,76.33,C,A,72,False,False,False,True
http://dexel.co.uk/,Bridgestone,205,55,16,Turanza T005,205/55 R16 91W,76.93,C,B,71,False,False,False,False
http://dexel.co.uk/,Hankook,205,55,16,Ventus Prime 3 (K125),205/55 R16 94W,77.82,C,A,72,False,False,False,True
